"ID","Data_paper","Data_paper_ID","Site","Subsite","Latitude","Longitude","LatLonAdjusted","Country","MAT_C","MAP_mm","Biome","Soil_N","Soil_pH","Soil_CEC","Soil_sand_pct","Soil_silt_pct","Soil_clay_pct","Soil_texture_index","Forest_age","Successional_stage","Forest_age_group","Forest_description","Disturbance_note","Dominant_species","Leaf_type","Sampling_interval","Sampling_duration","Sampling_area_ha","Sampling_frequency","Trap_area_m2","N_Traps","Leaf_flux_Mghayr","Repro_flux_Mghayr","R..R.L.","Primary_Reference","Supplementary_References","Site_soil_total_P","Site_soil_N","Site_soil_pH","Site_soil_CEC","Site_soil_sand","Site_soil_clay","Site_soil_silt","Reference_soils","site_soil_data"
1,NA,NA,"ALLPAHUAYO_NTL_RSV","ALP-11",-3.95,-73.4333,0,"Peru",26.12083435,2660,"Tropical",1.175,4.333333333,10.75,44.26666667,13.31666667,24.75,0.581406459,NA,"old-growth","old","amazon, NW Amazon, low-lyingoccasionally waterlogged, higher areas better drained","""natural disturbance"" is referenced but not described","Eschweilera, Guatteria, Inga, Iryanthera, Ocotea, Pouteria, Protium, Sloanea","broadleaf","2009-2012",3,1,"two-week",0.25,25,5.037593985,0.714285714,0.124183007,"del Aguila-Pasquel et al., 2014","Girardin et al., 2016, Girardin et al., 2014b",140.91,0.6,4.26,3.62,52.79,20.67,26.54,"Quesada et al., 2010, del Aguila-Pasquel et al., 2014",1
2,NA,NA,"ALLPAHUAYO_NTL_RSV","ALP-30",-3.9543,-73.4267,0,"Peru",26.12083435,2660,"Tropical",1.216666667,4.45,7.816666667,44.75,12.65,15.23333333,1.077605435,NA,"old-growth","old","amazon, NW Amazon, ALP C (ALP-30) higher than Alp A (ALP-01)and better drainage","""natural disturbance"" is referenced but not described","Anaxagorea brachycarpa, Caraipa utilis, Dendropanax umbellatus, Dicymbe uaiparuensis, Euterpe catinga, Neea macrophylla, Oxandra eunera, Pachira brevipes, Sloanea spathulata, Ternstroemia klugiana, Tovomita calophyllophylla","broadleaf","2009-2012",3,1,"two-week",0.25,25,7.612781955,0.751879699,0.08988764,"del Aguila-Pasquel et al., 2014","Girardin et al., 2016, Girardin et al., 2014b",37.64,0.8,4.07,0.49,82,2.31,15.69,"Quesada et al., 2010, del Aguila-Pasquel et al., 2014",1
3,NA,NA,"AMACAYACU","AGP-01",-3.72,-70.3,0,"Colombia",26.60416603,2953,"Tropical",1.658333333,4.366666667,11.4,28.83333333,27.55,26.43333333,0.086906285,NA,"old-growth","old","amazon, terra firme",NA,NA,"broadleaf","2005-2007",2,1,"two-week",0.5,25,6.45,0.39,0.057017544,"Chave et al., 2010","Arag�o et al., 2009",319.87,1.5,4.5,6.21,20.63,42.12,37.25,"Quesada et al., 2010",1
4,NA,NA,"AMACAYACU","AGP-02",-3.73,-70.4,0,"Colombia",26.53333282,2963,"Tropical",1.583333333,4.433333333,11.7,41.55,20.81666667,28.78333333,0.367101005,NA,"old-growth","old","amazon, terra firme",NA,NA,"broadleaf","2005-2007",2,1,"two-week",0.5,25,5.78,0.63,0.098283931,"Chave et al., 2010","Arag�o et al., 2009",286.68,1.6,4.29,6.26,19.19,43.1,37.71,"Quesada et al., 2010",1
5,NA,NA,"ANKASA_CONSERVATION_AREA","ANK-01_EF",5.268,-2.6955,0,"Ghana",26.34166718,1876,"Tropical",0.883333333,4.766666667,5.2,69.43333333,7.166666667,16.3,1.449201952,NA,"old-growth","old","wet evergreen",NA,NA,"broadleaf","2011-2013",2,1,"two-week",0.25,25,6.117886179,1.138211382,0.156862745,"Moore et al., 2018","",147,1.7,4.27,2.449,63,22,15,"Moore et al., 2018",1
6,NA,NA,"ANKASA_CONSERVATION_AREA","ANK-02_EF",5.268,-2.6955,0,"Ghana",26.34166718,1876,"Tropical",0.883333333,4.766666667,5.2,69.43333333,7.166666667,16.3,1.449201952,NA,"old-growth","old","wet evergreen",NA,NA,"broadleaf","2011-2013",2,1,"two-week",0.25,25,5.528455285,0.731707317,0.116883117,"Moore et al., 2018","",147,1.7,4.27,2.449,63,22,15,"Moore et al., 2018",1
7,NA,NA,"BOBIRI_FOREST_RESERVE","BOB-01_SDF",6.691,-1.3389,0,"Ghana",25.66250038,1306,"Tropical",1.313333333,5.7,37.38333333,46.25,30.71666667,17.2,0.98915208,NA,"old-growth","old","semi-deciduous",NA,NA,"broadleaf","2012-2015",3,1,"two-week",0.25,25,10.44715447,1.300813008,0.110726644,"Moore et al., 2018","",258,1.6,6.05,4.6,47,29,24,"Moore et al., 2018",1
8,NA,NA,"BOBIRI_FOREST_RESERVE","BOB-02_SDF",6.691,-1.3389,0,"Ghana",25.66250038,1306,"Tropical",1.313333333,5.7,37.38333333,46.25,30.71666667,17.2,0.98915208,NA,"late-successional","mid","semi-deciduous","logging",NA,"broadleaf","2012-2015",3,1,"two-week",0.25,25,10.89430894,1.74796748,0.138263666,"Moore et al., 2018","",258,1.6,6.05,4.6,47,29,24,"Moore et al., 2018",1
9,NA,NA,"CAXIUANA","CAX-06_TOWER",-1.72,-51.5,0,"Brazil",26.04999924,2229,"Tropical",1.076666667,4.35,6.866666667,39.98333333,12.55,26.4,0.41509869,NA,"old-growth","old","rainforest",NA,NA,"broadleaf","2005-2006",2,NA,"monthly",0.25,25,5.65,0.94,0.142640364,"Chave et al., 2010","",NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,"CAXIUANA","CAX-08_TPRETA",-1.72,-51.5,0,"Brazil",26.04999924,2229,"Tropical",1.076666667,4.35,6.866666667,39.98333333,12.55,26.4,0.41509869,NA,"old-growth","old","rainforest",NA,NA,"broadleaf","2005-2006",2,NA,"monthly",0.25,25,6.85,1.2,0.149068323,"Chave et al., 2010","",NA,NA,NA,NA,NA,NA,NA,NA,NA
